source,subject,text,label,clean_text
spam_2,If You Own A Cell Phone......Please Read..... 5214,"If You Own A Cell Phone......Please Read..... 5214 Unbelievable Prices On Cell Phones And Accessories: URL Hands Free Ear Buds 1.99! Phone Holsters 1.98! Phone Cases 1.98! Car Chargers 1.98! Face Plates As Low As 2.98! Lithium Ion Batteries As Low As 6.94! URL Click Below For Accessories On All NOKIA, MOTOROLA LG, NEXTEL, SAMSUNG, QUALCOMM, ERICSSON, AUDIOVOX PHONES At Below WHOLESALE PRICES! URL ***NEW*** Now Also: Accessories For PALM III, PALM VII, PALM IIIc, PALM V, PALM M100 & M105, HANDSPRING VISOR, COMPAQ iPAQ*** Car Chargers 6.95! Leather Cases 13.98! USB Chargers 11.98! Hot Sync Cables11.98! URL ***If You Need Assistance Please Call Us (732) 751-1457*** ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ To be removed from future mailings please send your remove request to: EMAIL",1,cell phone please read numbertoken unbelievable prices cell phones accessories url hands free ear buds numbertoken numbertoken phone holsters numbertoken numbertoken phone cases numbertoken numbertoken car chargers numbertoken numbertoken face plates low numbertoken numbertoken lithium ion batteries low numbertoken numbertoken url click accessories nokia motorola lg nextel samsung qualcomm ericsson audiovox phones wholesale prices url new also accessories palm iii palm vii palm iiic palm v palm numbertoken numbertoken handspring visor compaq ipaq car chargers numbertoken numbertoken leather cases numbertoken numbertoken usb chargers numbertoken numbertoken hot sync cables numbertoken numbertoken url need assistance please call us numbertoken numbertoken numbertoken removed future mailings please send remove request email
spam_2,Special Investor update.,"Special Investor update. On January 1st 2002, the European countries began using the new Euro Dollar. Never before have so many countries with such powerful economies united to use a single currency. Get your piece of history now! We would like to send you a FREE Euro Dollar and a FREE report on world currency. Just visit our site to request your Euro Dollar: URL In addition to our currency report, you can receive: * FREE trading software for commodities and currencies * FREE online trading advice via email * FREE trading system for stock and commodity traders Find out how the new Euro Dollar will affect you. If you are over age 18 and have some risk capital, it's important that you find out how the Euro Dollar will change the economic world. CLICK NOW! URL $5,000 minimum investment Please carefully evaluate your financial position before trading. Only risk capital should be used. URL To OptOut",1,special investor update january numbertoken st numbertoken european countries began using new euro dollar never many countries powerful economies united use single currency get piece history would like send free euro dollar free report world currency visit site request euro dollar url addition currency report receive free trading software commodities currencies free online trading advice via email free trading system stock commodity traders find new euro dollar affect age numbertoken risk capital important find euro dollar change economic world click url numbertoken numbertoken minimum investment please carefully evaluate financial position trading risk capital used url optout
spam_2,An Untapped Market = An Easy Sale,"An Untapped Market = An Easy Sale North Star Marketing's commitment As the exclusive marketers of John Alden products, North Star Marketing (NSM) is committed to helping you be successful. Every time you call your local NSM office, you'll speak with an experienced health insurance professional. Thousands of agents already rely on NSM for assistance with prospecting, quoting, issuing policies, marketing ideas and follow-up support. And, since John Alden is also a leader in the individual medical insurance market, North Star can further help you meet your clients' needs. Let's talk today! LinkLink to the North Star Marketing directory to contact an office near you. or Complete all the information below and an NSM Rep in your state will contact you directly. Name: Company E-mail: Phone: City: State: Insurance products are underwritten and issued by John Alden Life Insurance Company, and administered by Fortis Insurance Company, both Fortis Health member companies, Milwaukee, WI. Short Term Medical is presented by North Star Marketing, URL We don't want anybody to receive our mailing who does not wish to receive them. This is a professional communication sent to insurance professionals. To be removed from this mailing list, DO NOT REPLY to this message. Instead, go here: URL Legal Notice An Untapped Market = An Easy Sale As the exclusive marketers of John Alden products, North Star Marketing (NSM) is committed to helping you be successful. Every time you call your local NSM office, you'll speak with an experienced health insurance professional. Thousands of agents already rely on NSM for assistance with prospecting, quoting, issuing policies, marketing ideas and follow-up support. And, since John Alden is also a leader in the individual medical insurance market, North Star can further help you meet your clients' needs. Link to the North Star Marketing directory to contact an office near you. Complete all the information below and an NSM Rep in your state will contact you directly. Name: Company E-mail: Phone: City: State: Insurance products are underwritten and issued by John Alden Life Insurance Company, and administered by Fortis Insurance Company, both Fortis Health member companies, Milwaukee, WI. Short Term Medical is presented by North Star Marketing, URL We don't want anybody to receive our mailing who does not wish to receive them. This is a professional communication sent to insurance professionals. To be removed from this mailing list, DO NOT REPLY to this message. Instead, go here: URL Legal Notice",1,untapped market easy sale north star marketing commitment exclusive marketers john alden products north star marketing nsm committed helping successful every time call local nsm office speak experienced health insurance professional thousands agents already rely nsm assistance prospecting quoting issuing policies marketing ideas follow support since john alden also leader individual medical insurance market north star help meet clients needs let talk today linklink north star marketing directory contact office near complete information nsm rep state contact directly name company e mail phone city state insurance products underwritten issued john alden life insurance company administered fortis insurance company fortis health member companies milwaukee wi short term medical presented north star marketing url want anybody receive mailing wish receive professional communication sent insurance professionals removed mailing list reply message instead go url legal notice untapped market easy sale exclusive marketers john alden products north star marketing nsm committed helping successful every time call local nsm office speak experienced health insurance professional thousands agents already rely nsm assistance prospecting quoting issuing policies marketing ideas follow support since john alden also leader individual medical insurance market north star help meet clients needs link north star marketing directory contact office near complete information nsm rep state contact directly name company e mail phone city state insurance products underwritten issued john alden life insurance company administered fortis insurance company fortis health member companies milwaukee wi short term medical presented north star marketing url want anybody receive mailing wish receive professional communication sent insurance professionals removed mailing list reply message instead go url legal notice
spam_2,Toners and inkjet cartridges for less....          T,"Toners and inkjet cartridges for less.... T Tremendous Savings on Toners, Inkjets, FAX, and Thermal Replenishables!! Toners 2 Go is your secret weapon to lowering your cost for High Quality, Low-Cost printer supplies! We have been in the printer replenishables business since 1992, and pride ourselves on rapid response and outstanding customer service. What we sell are 100% compatible replacements for Epson, Canon, Hewlett Packard, Xerox, Okidata, Brother, and Lexmark; products that meet and often exceed original manufacturer's specifications. Check out these prices! Epson Stylus Color inkjet cartridge (SO20108): Epson's Price: $27.99 Toners2Go price: $9.95! HP LaserJet 4 Toner Cartridge (92298A): HP's Price: $88.99 Toners2Go price: $41.75! Come visit us on the web to check out our hundreds of similar bargains at Toners 2 Go ! request to be removed by clicking HERE derekw URL",1,toners inkjet cartridges less tremendous savings toners inkjets fax thermal replenishables toners numbertoken go secret weapon lowering cost high quality low cost printer supplies printer replenishables business since numbertoken pride rapid response outstanding customer service sell numbertoken compatible replacements epson canon hewlett packard xerox okidata brother lexmark products meet often exceed original manufacturer specifications check prices epson stylus color inkjet cartridge numbertoken epson price numbertoken numbertoken toners numbertoken go price numbertoken numbertoken hp laserjet numbertoken toner cartridge numbertoken hp price numbertoken numbertoken toners numbertoken go price numbertoken numbertoken come visit us web check hundreds similar bargains toners numbertoken go request removed clicking derekw url
easy_ham,Re: [zzzzteana] The Cafe Forteana is back online!!!,"Re: [zzzzteana] The Cafe Forteana is back online!!! >That Goddess Chick wrote: >> >> >Thanks Fel. Got no scanner. My photo is in that group of 100 obsessive >> >compulsive clipsters in FT, 1996 or 1997. >> > >> >Terry >> >> Great, and right now all my pre '98s are in Washington state, in a >> cardboard box in a shed in the back of Sydde's garage. Probably mice >> nests by now. :-( Put a scanner on your Christmas list right above >> world peace! >> -- >> >> Fel >> NEW!! Cafe Forteana is back: >> URL > >Maybe a kind soul with access to that issue and a scanner could scan it and >forward to you. > >Terry > I would appreciate that very much as I won't be getting back to Washington until December. -- Fel NEW!! Cafe Forteana is back: URL URL Weird Page: URL [Non-text portions of this message have been removed] ------------------------ Yahoo! Groups Sponsor ---------------------~--> Sell a Home with Ease! URL ---------------------------------------------------------------------~-> To unsubscribe from this group, send an email to: EMAIL Your use of Yahoo! Groups is subject to URL",0,zzzzteana cafe forteana back online goddess chick wrote thanks fel got scanner photo group numbertoken obsessive compulsive clipsters ft numbertoken numbertoken terry great right pre numbertoken washington state cardboard box shed back sydde garage probably mice nests put scanner christmas list right world peace fel new cafe forteana back url maybe kind soul access issue scanner could scan forward terry would appreciate much getting back washington december fel new cafe forteana back url url weird page url non text portions message removed yahoo groups sponsor sell home ease url unsubscribe group send email email use yahoo groups subject url
spam_2,Legal identification,"Legal identification INTERNATIONAL DRIVER'S LICENSE Need a new driver's license? Too many points or other trouble? Want a license that can never be suspended or revoked? Want an ID for nightclubs or hotel check-in? Avoid tickets, fines, and mandatory driver's education. Protect your privacy, and hide your identity. The United Nations gave you the privilege to drive freely throughout the world! (Convention on International Road Traffic of September 19, 1949 & World Court Decision, The Hague, Netherlands, January 21, 1958) Take advantage of your rights. Order a valid International Driver's License that can never be suspended or revoked. Confidentiality assured. CALL NOW!!! 1-770-908-3949 We await your call seven days a week, 24 hours a day, including Sundays and holidays.",1,legal identification international driver license need new driver license many points trouble want license never suspended revoked want id nightclubs hotel check avoid tickets fines mandatory driver education protect privacy hide identity united nations gave privilege drive freely throughout world convention international road traffic september numbertoken numbertoken world court decision hague netherlands january numbertoken numbertoken take advantage rights order valid international driver license never suspended revoked confidentiality assured call numbertoken numbertoken numbertoken numbertoken await call seven days week numbertoken hours day including sundays holidays
spam,Collect Your Money! Time:1:30:33 AM,"Collect Your Money! Time:1:30:33 AM PROFESSIONAL, EFFECTIVE DEBT COLLECTION SERVICES AVAILABLE For the last seventeen years, National Credit Systems, Inc. has been providing top flight debt collection services to over 15,000 businesses, institutions, and healthcare providers. We charge only a low-flat fee (less than $20) per account, and all proceeds are forwarded to you directly -- not to your collections agency. If you wish, we will report unpaid accounts to Experian (formerly TRW), TRANSUNION, and Equifax. There is no charge for this important service. PLEASE LET US KNOW IF WE CAN BE OF SERVICE TO YOU. Simply reply to EMAIL with the following instructions in the Subject field - REMOVE -- Please remove me from your mailing list. EMAIL -- Please email more information. FAX -- Please fax more information. MAIL -- Please snailmail more information. CALL -- Please have a representative call. Indicate the best time to telephone and any necessary addresses and telephone/fax numbers in the text of your reply. If you prefer you can always telephone us during normal business hours at (212) 213-3000 Ext 1425. Thank you. P.S. -- If you are not in need of our services at this time, please retain this message for future use or past it on to a friend.",1,collect money time numbertoken numbertoken numbertoken professional effective debt collection services available last seventeen years national credit systems inc providing top flight debt collection services numbertoken numbertoken businesses institutions healthcare providers charge low flat fee less numbertoken per account proceeds forwarded directly collections agency wish report unpaid accounts experian formerly trw transunion equifax charge important service please let us know service simply reply email following instructions subject field remove please remove mailing list email please email information fax please fax information mail please snailmail information call please representative call indicate best time telephone necessary addresses telephone fax numbers text reply prefer always telephone us normal business hours numbertoken numbertoken numbertoken ext numbertoken thank p need services time please retain message future use past friend
spam,Mortgage Rates Are Down.                    ptjti,"Mortgage Rates Are Down. ptjti You can save thousands of dollars over the course of your loan with just a .25% drop in your rate! ""Now is the time to take advantage of falling interest rates! There is no advantage in waiting any longer."" URL Refinance or consolidate high interest credit card debt into a low interest mortgage. Mortgage interest is tax deductible, whereas credit card interest is not. Our nationwide network of lenders have hundreds of different loan programs to fit your current situation: * Refinance * Second Mortgage * Debt Consolidation * Home Improvement * Purchase By clicking on the link below and filling out the form, the information you provide is instantly transmitted to our network of financial experts who will respond to your request with up to three offers. This service is 100% free to homeowners, and of course, without obligation. URL Click here to delete your address from future updates. URL",1,mortgage rates ptjti save thousands dollars course loan numbertoken drop rate time take advantage falling interest rates advantage waiting longer url refinance consolidate high interest credit card debt low interest mortgage mortgage interest tax deductible whereas credit card interest nationwide network lenders hundreds different loan programs fit current situation refinance second mortgage debt consolidation home improvement purchase clicking link filling form information provide instantly transmitted network financial experts respond request three offers service numbertoken free homeowners course without obligation url click delete address future updates url
spam,Attn: NORTON SYSTEMWORKS CLEARANCE SALE_ONLY $29.99!                  Y,"Attn: NORTON SYSTEMWORKS CLEARANCE SALE_ONLY $29.99! Y Norton AD Take Control of Your Computer With This Top-of-the-Line Software! Norton SystemWorks 2002 Software Suite - Professional Edition - Includes Six - Yes 6! - Feature-Packed Utilities ALL for 1 Special LOW Price of Only $29.99! This Software Will: - Protect your computer from unwanted and hazardous viruses - Help secure your private & valuable information - Allow you to transfer files and send e-mails safely - Backup your ALL your data quick and easily - Improve your PC's performance w/ superior integral diagnostics! - You'll NEVER have to take your PC to the repair shop AGAIN! 6 Feature-Packed Utilities 1 Great Price A $300+ Combined Retail Value YOURS for Only $29.99! < Price Includes FREE Shipping! > And For a Limited time Buy Any 2 of Our Products & Get 1 Free! Don't fall prey to destructive viruses or hackers! Protect your computer and your valuable information and -> CLICK HERE to Order Yours NOW! <- Your email address was obtained from an opt-in list. Opt-in UEFAS (United Email Federation Against Spam) Approved List - Purchase Code # 8594030. If you wish to be unsubscribed from this list, please Click here . If you have previously unsubscribed and are still receiving this message, you may email our Spam Abuse Control Center . We do not condone spam in any shape or form. Thank You kindly for your cooperation.",1,attn norton systemworks clearance sale numbertoken numbertoken norton ad take control computer top line software norton systemworks numbertoken software suite professional edition includes six yes numbertoken feature packed utilities numbertoken special low price numbertoken numbertoken software protect computer unwanted hazardous viruses help secure private valuable information allow transfer files send e mails safely backup data quick easily improve pc performance w superior integral diagnostics never take pc repair shop numbertoken feature packed utilities numbertoken great price numbertoken combined retail value numbertoken numbertoken price includes free shipping limited time buy numbertoken products get numbertoken free fall prey destructive viruses hackers protect computer valuable information click order email address obtained opt list opt uefas united email federation spam approved list purchase code numbertoken wish unsubscribed list please click previously unsubscribed still receiving message may email spam abuse control center condone spam shape form thank kindly cooperation
easy_ham_2,Re: [ILUG] hard- vs. soft-links [was: How to copy some files ],"Re: [ILUG] hard- vs. soft-links [was: How to copy some files ] Kevin wrote: > am i the only one who thinks this is like ""friday night 80's"" for ilug? > and here's an answer from 1989. for those perceptive folks in the > audience you'll note that it makes no reference to a windows icons. > so yeah, unrm would be nice, but obviously it's not a simple problem. > millions of lines of code, hundreds of projects, no unrm. heck, the > hurd will probably release 1.0 before unrm shows up. So what this tells us is: 1) There are very few new ideas. 2) Problems exists until someone gets annoyed enough to actually fix them rather than find bizarre ways to solve the problem. 3) I have too much creative time on my hands with not enough productive time. >>From which we can infer that no work on unrm will be happening on my computer for a long time. :) - Matthew __________________________________________________ Do You Yahoo!? Everything you'll ever need on one web page from News and Sport to Email and Music Charts URL -- Irish Linux Users' Group: EMAIL URL for (un)subscription information. List maintainer: EMAIL",0,ilug hard vs soft links copy files kevin wrote one thinks like friday night numbertoken ilug answer numbertoken perceptive folks audience note makes reference windows icons yeah unrm would nice obviously simple problem millions lines code hundreds projects unrm heck hurd probably release numbertoken numbertoken unrm shows tells us numbertoken new ideas numbertoken problems exists someone gets annoyed enough actually fix rather find bizarre ways solve problem numbertoken much creative time hands enough productive time infer work unrm happening computer long time matthew yahoo everything ever need one web page news sport email music charts url irish linux users group email url un subscription information list maintainer email
